Question,SQL Query
What tools are associated with Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
Show me the tools used in Solutions for Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
List all the tools in Solutions for Source Code Management Dev Ops & Documentation.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
What are the tools for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
Which tools should I use for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tools are recommended for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
Show me tools used in Solutions for Mobile Application Development Data Management GIS DevOps.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
What tools are commonly used in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
List all the tools for Solutions for Application Testing.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What tools are associated with Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
Show me tools used in Solutions for Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
List all the tools in Solutions for Source Code Management Dev Ops & Documentation.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
What are the tools for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
Which tools should I use for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tools are recommended for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
Show me tools used in Solutions for Mobile Application Development Data Management GIS DevOps.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
What tools are commonly used in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
List all the tools for Solutions for Application Testing.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What tools are associated with Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
Show me tools used in Solutions for Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
List all the tools in Solutions for Source Code Management Dev Ops & Documentation.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
What are the tools for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
Which tools should I use for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tools are recommended for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
Show me tools used in Solutions for Mobile Application Development Data Management GIS DevOps.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
